Station Name,Latitude (deg),Longitude (deg),Elevation (ft),Max Temp (F),Min Temp (F),Rainfall (in),Corn GDD (F),Corn AGDD (F),Delta GDD (5yr),County,Date
Eldred,47.688,-96.822,861,80.15,48.11,0.0,,,,"Polk, MN",2017-05-15
Eldred,47.688,-96.822,861,64.598,48.974,0.0,7.0,7.0,-3.0,"Polk, MN",2017-05-16
Eldred,47.688,-96.822,861,60.242,45.307,0.0,5.0,12.0,-11.0,"Polk, MN",2017-05-17
Eldred,47.688,-96.822,861,63.428,35.281,0.0,7.0,19.0,-15.0,"Polk, MN",2017-05-18
Eldred,47.688,-96.822,861,63.014,31.365,0.0,7.0,26.0,-17.0,"Polk, MN",2017-05-19
Eldred,47.688,-96.822,861,52.97,40.779,0.27,1.0,27.0,-25.0,"Polk, MN",2017-05-20
Eldred,47.688,-96.822,861,51.71,36.664,0.13,1.0,28.0,-34.0,"Polk, MN",2017-05-21
Eldred,47.688,-96.822,861,54.104,44.37300000000001,0.09,2.0,30.0,-47.0,"Polk, MN",2017-05-22
Eldred,47.688,-96.822,861,59.198,39.459,0.03,5.0,35.0,-56.0,"Polk, MN",2017-05-23
Eldred,47.688,-96.822,861,68.558,33.676,0.0,9.0,44.0,-61.0,"Polk, MN",2017-05-24
Eldred,47.688,-96.822,861,70.628,44.19,0.0,10.0,54.0,-64.0,"Polk, MN",2017-05-25
Eldred,47.688,-96.822,861,70.88,45.56100000000001,0.0,10.0,64.0,-67.0,"Polk, MN",2017-05-26
Eldred,47.688,-96.822,861,76.748,44.719,0.0,13.0,77.0,-68.0,"Polk, MN",2017-05-27
Eldred,47.688,-96.822,861,67.73,47.246,0.14,9.0,86.0,-75.0,"Polk, MN",2017-05-28
Eldred,47.688,-96.822,861,58.352,46.222,0.07,4.0,90.0,-83.0,"Polk, MN",2017-05-29
Eldred,47.688,-96.822,861,65.858,44.83600000000001,0.0,8.0,98.0,-89.0,"Polk, MN",2017-05-30
Eldred,47.688,-96.822,861,76.658,45.059,0.0,13.0,111.0,-87.0,"Polk, MN",2017-05-31
Eldred,47.688,-96.822,861,83.912,40.838,0.0,17.0,128.0,-80.0,"Polk, MN",2017-06-01
Eldred,47.688,-96.822,861,93.308,56.75,0.15,21.0,149.0,-71.0,"Polk, MN",2017-06-02
Eldred,47.688,-96.822,861,84.686,60.224,0.0,22.0,171.0,-60.0,"Polk, MN",2017-06-03
Eldred,47.688,-96.822,861,81.518,54.788,0.0,18.0,189.0,-56.0,"Polk, MN",2017-06-04
Eldred,47.688,-96.822,861,84.074,51.152,0.0,18.0,207.0,-53.0,"Polk, MN",2017-06-05
Eldred,47.688,-96.822,861,88.88,53.15,0.0,20.0,227.0,-46.0,"Polk, MN",2017-06-06
Eldred,47.688,-96.822,861,78.44,57.992,0.58,18.0,245.0,-42.0,"Polk, MN",2017-06-07
Eldred,47.688,-96.822,861,79.46600000000002,52.718,0.0,16.0,261.0,-43.0,"Polk, MN",2017-06-08
Eldred,47.688,-96.822,861,81.69800000000002,52.37600000000001,0.13,17.0,278.0,-43.0,"Polk, MN",2017-06-09
Eldred,47.688,-96.822,861,79.82600000000002,55.418,0.0,18.0,296.0,-41.0,"Polk, MN",2017-06-10
Eldred,47.688,-96.822,861,84.164,54.698,0.0,19.0,315.0,-36.0,"Polk, MN",2017-06-11
Eldred,47.688,-96.822,861,77.954,51.944,0.0,15.0,330.0,-35.0,"Polk, MN",2017-06-12
Eldred,47.688,-96.822,861,73.88600000000002,57.344,0.28,16.0,346.0,-35.0,"Polk, MN",2017-06-13
Eldred,47.688,-96.822,861,78.296,57.308,0.71,18.0,364.0,-34.0,"Polk, MN",2017-06-14
Eldred,47.688,-96.822,861,75.902,59.63,0.0,18.0,382.0,-31.0,"Polk, MN",2017-06-15
Eldred,47.688,-96.822,861,79.646,55.04,0.01,17.0,399.0,-28.0,"Polk, MN",2017-06-16
Eldred,47.688,-96.822,861,69.476,53.402,0.02,11.0,410.0,-34.0,"Polk, MN",2017-06-17
Eldred,47.688,-96.822,861,69.72800000000001,52.448,0.01,11.0,421.0,-39.0,"Polk, MN",2017-06-18
Eldred,47.688,-96.822,861,72.66199999999998,50.99,0.24,12.0,433.0,-45.0,"Polk, MN",2017-06-19
Eldred,47.688,-96.822,861,71.618,47.084,0.02,11.0,444.0,-50.0,"Polk, MN",2017-06-20
Eldred,47.688,-96.822,861,84.61399999999998,49.118,0.02,17.0,461.0,-51.0,"Polk, MN",2017-06-21
Eldred,47.688,-96.822,861,77.09,48.092,0.0,14.0,475.0,-54.0,"Polk, MN",2017-06-22
Eldred,47.688,-96.822,861,66.704,52.88,0.0,10.0,485.0,-62.0,"Polk, MN",2017-06-23
Eldred,47.688,-96.822,861,59.882,42.994,0.01,5.0,490.0,-75.0,"Polk, MN",2017-06-24
Eldred,47.688,-96.822,861,67.388,41.46100000000001,0.0,9.0,499.0,-85.0,"Polk, MN",2017-06-25
Eldred,47.688,-96.822,861,74.156,40.285,0.0,12.0,511.0,-93.0,"Polk, MN",2017-06-26
Eldred,47.688,-96.822,861,78.476,41.44300000000001,0.0,14.0,525.0,-100.0,"Polk, MN",2017-06-27
Eldred,47.688,-96.822,861,66.542,57.992,1.7919999999999998,12.0,537.0,-107.0,"Polk, MN",2017-06-28
Eldred,47.688,-96.822,861,76.028,57.56,0.0,17.0,554.0,-109.0,"Polk, MN",2017-06-29
Eldred,47.688,-96.822,861,70.79,52.358,0.0,12.0,566.0,-113.0,"Polk, MN",2017-06-30
Eldred,47.688,-96.822,861,71.294,51.368,0.04,11.0,577.0,-118.0,"Polk, MN",2017-07-01
Eldred,47.688,-96.822,861,72.806,46.742,0.0,11.0,588.0,-125.0,"Polk, MN",2017-07-02
Eldred,47.688,-96.822,861,80.672,51.152,0.0,16.0,604.0,-130.0,"Polk, MN",2017-07-03
Eldred,47.688,-96.822,861,91.274,58.604,0.22,22.0,626.0,-131.0,"Polk, MN",2017-07-04
Eldred,47.688,-96.822,861,85.766,65.336,0.0,26.0,652.0,-126.0,"Polk, MN",2017-07-05
Eldred,47.688,-96.822,861,82.22,59.522,0.0,21.0,673.0,-124.0,"Polk, MN",2017-07-06
Eldred,47.688,-96.822,861,77.27,55.904,0.0,17.0,690.0,-125.0,"Polk, MN",2017-07-07
Eldred,47.688,-96.822,861,84.488,50.306,0.0,17.0,707.0,-126.0,"Polk, MN",2017-07-08
Eldred,47.688,-96.822,861,82.706,62.438,0.04,23.0,730.0,-120.0,"Polk, MN",2017-07-09
Eldred,47.688,-96.822,861,81.86,61.79,0.01,22.0,752.0,-118.0,"Polk, MN",2017-07-10
Eldred,47.688,-96.822,861,85.478,61.142,0.32,23.0,775.0,-116.0,"Polk, MN",2017-07-11
Eldred,47.688,-96.822,861,68.486,54.986,0.01,12.0,787.0,-127.0,"Polk, MN",2017-07-12
